AF3; T7; Pz; T8; AF4; Tempo
4274.48717956;4698.07692405;4303.07692322;4497.69230825;4336.28205149;2022-01-21 12:14:32.460354
4332.69230790;4761.53846265;4273.58974366;4468.58974408;4338.84615406;2022-01-21 12:14:32.464346
4301.66666681;4766.66666778;4336.79487201;4497.82051338;4338.97435919;2022-01-21 12:14:32.482298
4270.89743597;4758.97436009;4336.79487201;4498.33333389;4340.12820534;2022-01-21 12:14:32.485293
4271.02564110;4730.89743694;4273.71794879;4496.41025697;4372.82051310;2022-01-21 12:14:32.493268
4273.84615392;4766.41025753;4272.05128212;4467.56410305;4398.20512856;2022-01-21 12:14:32.497260
4272.17948725;4798.84615503;4307.30769245;4470.89743639;4370.64102592;2022-01-21 12:14:32.508233
4271.28205136;4793.33333452;4270.76923084;4468.71794921;4369.61538490;2022-01-21 12:14:32.513215
4273.33333341;4734.10256515;4303.33333348;4470.00000049;4371.41025669;2022-01-21 12:14:32.527178
4271.41025648;4766.79487291;4402.94871830;4503.71794928;4366.15384644;2022-01-21 12:14:32.528175
4271.92307700;4825.38461664;4336.15384637;4501.02564159;4368.46153874;2022-01-21 12:14:32.535157
4273.20512828;4766.79487291;4203.33333327;4436.66666709;4371.15384644;2022-01-21 12:14:32.546133
4271.15384623;4726.28205233;4236.02564103;4437.05128247;4370.89743618;2022-01-21 12:14:32.551154
4272.69230777;4727.43589848;4301.79487194;4468.07692357;4366.53846182;2022-01-21 12:14:32.562087
4304.35897450;4763.33333445;4272.30769238;4467.82051331;4367.56410285;2022-01-21 12:14:32.567073
4336.28205149;4734.23077028;4204.99999993;4437.17948760;4366.66666695;2022-01-21 12:14:32.578043
4333.71794893;4698.07692405;4240.25641026;4438.20512863;4340.00000021;2022-01-21 12:14:32.582033
4305.25641040;4701.41025739;4369.87179515;4498.07692364;4334.74358996;2022-01-21 12:14:32.592005
4333.33333355;4766.53846265;4402.69230804;4501.66666723;4333.58974380;2022-01-21 12:14:32.599984
4307.17948732;4793.20512939;4367.82051310;4500.76923133;4333.84615406;2022-01-21 12:14:32.609957
4307.17948732;4730.64102669;4371.66666695;4500.64102620;4333.84615406;2022-01-21 12:14:32.612951
4302.05128219;4728.84615489;4402.43589779;4504.35897492;4334.48717970;2022-01-21 12:14:32.623965
